token
The stockbroker
The mobster
The editor
The parliamentarian
The marksman
The composer
The administrator
The physician
The crooner
The baron
The pundit
The doctor
The curator
The electrician
The archbishop
The laborer
The astronaut
The associate_dean
The colonel
The anthropologist
The footballer
The campaigner
The scholar
The alderman
The tycoon
The minister
The photojournalist
The midfielder
The provost
The narrator
The consultant
The custodian
The welder
The trader
The serviceman
The officer
The assistant professor
The pharmacist
The evangelist
The warrior
The surgeon
The barber
The bodyguard
The saint
The lawmaker
The trumpeter
The broadcaster
The cameraman
The butler
The comic
